Gene,architecture,dataset,IDR_START,IDR_END,IDR_ID,Asphericity,Radius_of_gyration,Radius_of_gyration_scaled,End_to_end_distance,End_to_end_distance_scaled,Scaling_exponent,Prefactor,Kappa,Length,FCR,NCPR,SHD,SCD,Molecular_weight,F_Neg,F_Pos,Hydrophobicity,Fraction_aromatic,Fraction_aliphatic,Fraction_polar,Complexity,cog_root_ids
OM-RGC.v2.002880019,ORDERED-IDR,omrgcv2,375,451,OM-RGC.v2.002880019_375-451,0.432,25.845,26.818,67.625,66.601,0.558,6.387,0.1922523975372314,77,0.3246753246753247,0.1168831168831168,4.996469378705513,2.0579777117885016,8463.700000000012,0.1038961038961039,0.2207792207792207,3.4285714285714293,0.0519480519480519,0.2077922077922078,0.3116883116883117,0.8694333109179797,COG0513
OM-RGC.v2.014909145,ORDERED-IDR-ORDERED-IDR,omrgcv2,61,98,OM-RGC.v2.014909145_61-98,0.473,17.481,17.558,41.473,43.541,0.589,6.092,0.1402323320508003,38,0.5789473684210527,0.2105263157894737,2.823370681230719,2.0294743914735114,4510.599999999999,0.1842105263157894,0.3947368421052631,1.823684210526316,0.0,0.0789473684210526,0.2894736842105263,0.739224365743695,COG0513
OM-RGC.v2.014909145,ORDERED-IDR-ORDERED-IDR,omrgcv2,171,227,OM-RGC.v2.014909145_171-227,0.475,25.206,25.244,59.267,61.648,0.604,6.599,0.3124189674854278,57,0.5263157894736842,0.3157894736842105,3.669695953152829,9.204283299024477,6577.100000000002,0.1052631578947368,0.4210526315789473,2.1280701754385967,0.0,0.1228070175438596,0.2280701754385964,0.730403078020779,COG0513
OM-RGC.v2.004772224,ORDERED-IDR,omrgcv2,352,377,OM-RGC.v2.004772224_352-377,0.518,15.213,15.213,39.774,39.774,0.376,6.073,-1.0,26,0.5,0.5,3.477962581788686,8.397336883580854,3003.199999999998,0.0,0.5,2.4115384615384614,0.1153846153846153,0.0,0.3461538461538461,0.5599995291895128,COG0513
OM-RGC.v2.003752450,ORDERED-IDR,omrgcv2,362,412,OM-RGC.v2.003752450_362-412,0.444,20.574,21.173,52.958,48.083,0.524,7.559,0.4750652313232422,51,0.4117647058823529,0.2549019607843137,4.040513631459381,2.5341964807826853,6156.899999999999,0.0784313725490196,0.3333333333333333,2.6725490196078434,0.1176470588235294,0.0980392156862745,0.3529411764705882,0.7850935463861527,COG0513
OM-RGC.v2.002392708,ORDERED-IDR,omrgcv2,377,480,OM-RGC.v2.002392708_377-480,0.422,30.304,30.451,70.947,72.715,0.546,6.512,0.1973203048110008,104,0.2884615384615385,0.0769230769230769,5.164891178163875,0.15254673636217,11640.500000000022,0.1057692307692307,0.1826923076923077,3.305769230769231,0.0576923076923076,0.1826923076923077,0.4326923076923077,0.9142455699054952,COG0513
OM-RGC.v2.003855850,ORDERED-IDR,omrgcv2,392,408,OM-RGC.v2.003855850_392-408,0.492,11.609,11.609,30.511,30.511,0.635,4.717,-1.0,17,0.5294117647058824,0.5294117647058824,2.890951909201908,4.706570007478456,2196.0,0.0,0.5294117647058824,2.0352941176470587,0.1176470588235294,0.0588235294117647,0.2352941176470588,0.5918772872622549,COG0513
OM-RGC.v2.005974056,ORDERED-IDR,omrgcv2,298,345,OM-RGC.v2.005974056_298-345,0.43,18.591,20.099,48.002,47.387,0.516,6.546,0.4277132153511047,48,0.3541666666666667,0.1875,3.5972188417201765,0.8957130938726228,5512.799999999998,0.0833333333333333,0.2708333333333333,2.5229166666666663,0.0208333333333333,0.1458333333333333,0.4166666666666667,0.8461350020216204,COG0513
OM-RGC.v2.002956816,ORDERED-IDR,omrgcv2,377,447,OM-RGC.v2.002956816_377-447,0.417,22.712,23.881,58.808,59.431,0.544,6.242,0.2566126883029938,71,0.3098591549295775,0.1971830985915492,3.5764386754700626,5.65427761906295,7794.700000000004,0.056338028169014,0.2535211267605634,2.385915492957748,0.0,0.1126760563380281,0.5211267605633803,0.7644595282769533,COG0513
OM-RGC.v2.003576560,ORDERED-IDR,omrgcv2,376,419,OM-RGC.v2.003576560_376-419,0.451,20.843,20.905,56.626,49.103,0.587,6.561,0.3848807364702225,44,0.4318181818181817,0.3409090909090909,3.934037401425144,5.910744364613215,5192.899999999997,0.0454545454545454,0.3863636363636363,2.927272727272727,0.0909090909090909,0.1363636363636363,0.2727272727272727,0.7812498552126821,COG0513
OM-RGC.v2.002407673,ORDERED-IDR,omrgcv2,363,479,OM-RGC.v2.002407673_363-479,0.438,32.817,33.069,80.467,80.126,0.58,5.794,0.2298651784658432,117,0.4444444444444444,0.2735042735042735,4.459271757722637,25.738085486702808,14180.400000000032,0.0854700854700854,0.358974358974359,2.2487179487179496,0.1367521367521367,0.0085470085470085,0.4102564102564102,0.7186865466169077,COG0513
OM-RGC.v2.003907844,IDR-ORDERED,omrgcv2,1,22,OM-RGC.v2.003907844_1-22,0.478,12.756,12.756,33.777,33.777,0.586,6.034,-1.0,22,0.2272727272727273,-0.2272727272727273,3.610130862429623,1.3557795189822126,2289.499999999999,0.2272727272727273,0.0,3.6818181818181817,0.0,0.2727272727272727,0.3636363636363636,0.7045264674442256,COG0513
OM-RGC.v2.003361161,ORDERED-IDR,omrgcv2,365,428,OM-RGC.v2.003361161_365-428,0.455,22.798,24.799,61.212,59.417,0.573,5.859,0.1943581253290176,64,0.28125,0.125,4.704385370704946,1.4500879566198972,7276.4000000000015,0.078125,0.203125,3.0265625000000003,0.03125,0.203125,0.4375,0.8006004743008064,COG0513
OM-RGC.v2.006990718,ORDERED-IDR,omrgcv2,228,324,OM-RGC.v2.006990718_228-324,0.453,33.324,33.185,88.22,83.861,0.613,6.052,0.2485900372266769,97,0.5154639175257731,0.3711340206185566,4.867830297146198,35.839264372372746,12022.900000000023,0.0721649484536082,0.4432989690721649,2.417525773195876,0.1752577319587629,0.0309278350515463,0.2474226804123711,0.6798469797484684,COG0513
OM-RGC.v2.004071468,ORDERED-IDR,omrgcv2,343,400,OM-RGC.v2.004071468_343-400,0.481,23.371,24.967,61.925,62.314,0.596,6.245,0.2929510027170181,58,0.4310344827586207,0.3620689655172414,4.1513448076047785,14.62455840287138,7084.299999999998,0.0344827586206896,0.396551724137931,2.336206896551724,0.0517241379310344,0.1034482758620689,0.3620689655172414,0.7337724868616928,COG0513
OM-RGC.v2.001128461,ORDERED-IDR-ORDERED-IDR,omrgcv2,434,494,OM-RGC.v2.001128461_434-494,0.45,23.712,23.648,61.759,59.289,0.582,5.977,0.1448459103703498,61,0.5245901639344263,0.1639344262295081,3.75546705405161,2.9044216193767,7201.900000000003,0.180327868852459,0.3442622950819672,2.208196721311475,0.0163934426229508,0.1147540983606557,0.2459016393442623,0.8201457705262167,COG0513
OM-RGC.v2.001128461,ORDERED-IDR-ORDERED-IDR,omrgcv2,568,618,OM-RGC.v2.001128461_568-618,0.477,21.875,22.82,52.862,55.963,0.588,6.034,0.2089905962347984,51,0.588235294117647,0.2352941176470588,3.756470886668537,3.977223137404141,5968.599999999999,0.1764705882352941,0.4117647058823529,2.1274509803921564,0.0,0.1176470588235294,0.2156862745098039,0.7771869667760027,COG0513
OM-RGC.v2.001249119,ORDERED-IDR-ORDERED-IDR,omrgcv2,331,350,OM-RGC.v2.001249119_331-350,0.52,13.159,13.159,32.685,32.685,0.521,6.328,0.5105804204940796,20,0.35,-0.15,3.5085886156623745,-0.1801242079764742,2205.699999999999,0.25,0.1,2.765,0.0,0.15,0.3,0.7280175133855433,COG0513
OM-RGC.v2.001249119,ORDERED-IDR-ORDERED-IDR,omrgcv2,427,598,OM-RGC.v2.001249119_427-598,0.434,43.442,45.042,108.255,109.525,0.583,6.116,0.1968173086643219,172,0.4593023255813953,0.1802325581395349,5.540501291097292,18.86602570800072,19845.70000000002,0.1395348837209302,0.3197674418604651,2.905813953488372,0.0232558139534883,0.1802325581395348,0.2674418604651162,0.8565892223231105,COG0513
OM-RGC.v2.003338034,ORDERED-IDR,omrgcv2,347,429,OM-RGC.v2.003338034_347-429,0.47,28.723,29.253,68.551,70.542,0.579,6.028,0.2286863550543785,83,0.4457831325301205,0.2048192771084337,4.753099720596369,6.053338950699161,10012.100000000011,0.1204819277108433,0.3253012048192771,2.986746987951807,0.0481927710843373,0.2048192771084337,0.2771084337349397,0.8020735019380795,COG0513
